incredible effort by terrapinhoops.,Democrat
rt wjz breaking it's official the lady terps and the lady tigers will be playing in the ncaa tournament this year let's go umdwbb tow,Democrat
rt tizzywoman as we approach the 100th anniversary of women's suffrage it's shameful that america still has not ratified the equal right,Democrat
"rt sistersofmercy today we pray for our muslim sisters and brothers in christchurch new zealand and around the world. 

houses of worsh",Democrat
you shouldnt wait until it happens to you to care. this is the advice we all need. thank you mollie. https//t.co/0cdcj3k7tc,Democrat
rt brianschatz and that i will well and faithfully discharge the duties of the office on which i am about to enter so help me god.,Democrat
rt brianschatz i do solemnly swear that i will support and defend the constitution of the united states against all enemies foreign and,Democrat
rt mddems we mourn the loss of former governor harry hughes and honor his contributions to the maryland democratic party as a twotime f,Democrat
rt speakerbusch gov. harry hughes was a friend whose legacy as a public servant will never be forgotten. i will always remember him for h,Democrat
rt mileahkromer .shellyhettleman had a constituent meetup in her district today called shelly at the deli. its this kind of stuff th,Democrat
rt delegatebagnall today we celebrate the life of an amazing marylander harriet tubman. an escaped slave who became an abolitionist amp un,Democrat
how long until opening day https//t.co/eqzflpt7rj,Democrat
rt arunamiller i am so ready for this. placing harriet tubman on our u.s. currency would be a fitting tribute to a woman who fought to m,Democrat
my heart goes out to families touched by the tornadoes in alabama. disasters like this demand americans come together and stay together.,Democrat
rt moulidi good lookin' out for your neighbors bencardinformd and chrisvanhollen !! https//t.co/1elypeaylo,Democrat
"notaxationwithoutrepresentation. 
men and women from d.c do and have done as much as anyone to preserve our nation https//t.co/4dc4rskgc1",Democrat
rt nbcnews breaking president trump asked about responsibility for the death of american otto warmbier after his detainment in north ko,Democrat
rt philiprucker he tells me he didn't know trump defends kim jong un over death of otto warmbier  the latest from jdawsey1 in hanoi,Democrat
for those of us who have known repcummings for years seeing him rise to the occasion is nothing new. i'm glad the https//t.co/yhbkbphftk,Democrat
"capable and confident. 
honorable and humble. 
a skilled member of the legislature and a dedicated member of our ar https//t.co/dsjngdmx36",Democrat
rt shellyhettleman a little puppy therapy at work today! https//t.co/fnbuytsvfm,Democrat
rt newshour watch live top pharmaceutical executives testify before the senate finance committee on drug prices https//t.co/hi5zoomvam,Democrat
rt brianschatz climate change is real. climate change is caused by humans. climate change is solvable. climate change requires the federa,Democrat
everyone wants border security. logic facts and reality dictate voting against the wall. https//t.co/nu7tlqwzrk,Democrat
leadership. senatorreid has always had strong moral fiber. from a working as capitol police officer to put himself https//t.co/1q4msipfbs,Democrat
rt mdstateparks march 10th is harriet tubman day and we are celebrating our shero with a day of events at the harriet tubman undergroun,Democrat
screenshot that tweet then volunteer with thedemocrats. federal state and especially local let's get active. https//t.co/e1afqldq6x,Democrat
rt rectorsun new wall in the baltimoresun newsroom.  journalismmatters https//t.co/03qfsm6rjt,Democrat
more than worth your attention. https//t.co/cgbozu1ww3,Democrat
rt councilmanbms baltimore join me in congratulating pattersonbball for winning the 20182019 baltcityschools championship. https//t.c,Democrat
rt delmaggie43 sign up! follow me on social media for uptothe minute updates on my work in the general assembly and guest appearances f,Democrat
rt elistokols trump has no idea about his administrations push to decriminalize homosexuality around the world per wh transcript from t,Democrat
"rt kylegriffin1 q mr. president on your push to decriminalize homosexuality are you doing that and why

trump say it

q your push",Democrat
rt baltimoresun this upcoming season the orioles' uniforms will include a no. 20 patch on the right sleeve in honor of frank robinson. ht,Democrat
keep it rolling https//t.co/2xzploijqv,Democrat
rt newshour watch on periscope nickschifrin interviews senatorcardin dmd and repjimbanks rin about the widening gulf between t,Democrat
rt arappeport trump has arrived at the golf course in florida per pool on the first full day of the national emergency.,Democrat
rt umbcathletics must watch 12 seconds left down a goal on the road in the cold 100 yards away from the cage. umbcwlacrosse scores,Democrat
 https//t.co/fwa2jwd24p,Democrat
"from crowd size to a phony national emergency realdonaldtrump picks talking points over reality. 
i don't doubt t https//t.co/8oaiom2cg9",Democrat
rt rbreich so let me get this straight declaring election day a national holiday would be a power grab but declaring a national emerg,Democrat
"rt repcleaver gun violence is a national emergency

climate change is a national emergency

income inequality is a national emergency

ac",Democrat
rt brianschatz i can think of a few other things that are actual emergencies.,Democrat
that's great. looking forward to when they arrive. https//t.co/9cnxpiicxi,Democrat
rt rephankjohnson for far too long congress has offered moments of silence instead of action in the wake of gun tragedies. that era is o,Democrat
rt baltcityhall illuminating unsungheroes...today's unsung hero is lawyer educator amp civil rights activist charleshouston. mr. houston,Democrat
rt 32bjseiu this bill has bipartisan support but we need your help! call 8882048353 and tell congress to pass the fair compensation for,Democrat
"rt apbenven pulls out calculator

yeah that's 1 per woman. https//t.co/szbnr6xbu4",Democrat
"here's the thing about crowd size no one is talking about... 

climate change is real and anyone who says otherwise https//t.co/0rwczmhh2h",Democrat
rt marisgmedina pick up your copy of thedbk today for some quality news entertainment and sports coverage  https//t.co/luacmd5z4y,Democrat
